page_id_from    page_title_from page_id_to      page_title_to
12	Anarchism	298070	Law and economics
12	Anarchism	17857512	Lawrence Jarach
12	Anarchism	37032750	Layla AbdelRahim
12	Anarchism	6279632	League of Peace and Freedom
12	Anarchism	8598081	Left libertarianism
12	Anarchism	39398243	Left-wing market anarchism
12	Anarchism	18499	Left-wing politics
12	Anarchism	176461	Leon Czolgosz
12	Anarchism	3264675	Leopold Kohr
12	Anarchism	18622119	Leo Tolstoy
12	Anarchism	17846	Lesbian
12	Anarchism	9026908	Levante
12	Anarchism	1292397	Lev Chernyi
12	Anarchism	30558	Levellers
12	Anarchism	89129	LGBT community
12	Anarchism	19280734	Liberalism
12	Anarchism	1789903	Libertarian Alliance
12	Anarchism	16102540	Libertarian anarchism
12	Anarchism	3225498	Libertarianism
12	Anarchism	18048	Libertarian socialism
12	Anarchism	2287391	Liberty (1881â€“1908)
12	Anarchism	1234174	Limited government
12	Anarchism	4699978	Lois scÃ©lÃ©rates
12	Anarchism	21257954	Lois Waisbrooker
12	Anarchism	338982	Loughborough University
12	Anarchism	1619384	Louise Michel
12	Anarchism	1289262	L. Susan Brown
12	Anarchism	3383103	LucÃ­a SÃ¡nchez Saornil
12	Anarchism	11747040	Lucifer the Lightbearer
12	Anarchism	11747070	Lucifer
12	Anarchism	4504145	Luigi Fabbri
12	Anarchism	1292441	Luigi Galleani
12	Anarchism	79355	Lysander Spooner
12	Anarchism	41188263	Madrid
12	Anarchism	2031264	Margaret Anderson
12	Anarchism	154770	Marie FranÃ§ois Sadi Carnot
12	Anarchism	3736784	Market (economics)
12	Anarchism	48852	Market economy
12	Anarchism	1904053	Marxism
12	Anarchism	3199676	Max Baginski
12	Anarchism	23860776	Maximilien Robespierre
12	Anarchism	1324482	Max Nettlau
12	Anarchism	112282	Max Stirner
12	Anarchism	47155	Means of production
12	Anarchism	3832332	M. E. Lazarus
12	Anarchism	3826096	Melchor RodrÃ­guez GarcÃ­a
12	Anarchism	364506	Melvyn Bragg
12	Anarchism	253377	Merriam-Webster
12	Anarchism	32375468	Mexican Anarchist Federation
12	Anarchism	4474455	Mexican Liberal Party
12	Anarchism	145401	Mexican Revolution
12	Anarchism	1917730	Michel Onfray
12	Anarchism	24932331	Miguel Gimenez Igualada
12	Anarchism	58198	Mikhail Bakunin
12	Anarchism	18933136	Minarchism
12	Anarchism	919595	Modern School (United States)
12	Anarchism	43254	Morality
12	Anarchism	849096	Moral obligation
12	Anarchism	4102172	Moses Harman
12	Anarchism	1732586	Mother Earth (magazine)
12	Anarchism	2780682	Mujeres Libres
